Date,MeToo,BLM,OscarsSoWhite
2022-02-23,2712,6271,8
2022-02-22,2508,5930,4
2022-02-21,2951,6419,13
2022-02-20,3099,5018,2
2022-02-19,3265,6588,7
2022-02-18,3871,8296,1
2022-02-17,4259,5930,1
2022-02-16,3261,5414,6
2022-02-15,3619,6242,12
2022-02-14,3125,10414,30
2022-02-13,3826,6425,11
2022-02-12,4594,8053,32
2022-02-11,5408,25793,17
2022-02-10,5725,46873,39
2022-02-09,4865,7577,92
2022-02-08,6790,7997,318
2022-02-07,5439,7101,12
2022-02-06,3362,7620,7
2022-02-05,2270,10349,2
2022-02-04,2762,9683,7
2022-02-03,3303,14468,11
2022-02-02,3959,9242,1
2022-02-01,4178,9824,2
2022-01-31,4540,7198,7
2022-01-30,2839,8533,4
2022-01-29,3648,5325,1
2022-01-28,4038,4527,9
2022-01-27,3686,4449,6
2022-01-26,4020,5281,3
2022-01-25,4045,4298,6
2022-01-24,4655,4858,2
2022-01-23,6091,5743,0
2022-01-22,9670,4990,3
2022-01-21,10765,5045,4
2022-01-20,8121,4526,9
2022-01-19,13826,5008,3
2022-01-18,13773,4855,7
2022-01-17,10453,6485,14
2022-01-16,13265,4042,8
2022-01-15,20515,4303,6
2022-01-14,8911,5245,7
2022-01-13,2616,4175,12
2022-01-12,3338,3974,9
2022-01-11,2483,3706,6
2022-01-10,2891,3900,10
2022-01-09,2590,5048,10
2022-01-08,2837,4996,35
2022-01-07,3180,7897,92
2022-01-06,3555,13964,5
2022-01-05,5977,5806,1
2022-01-04,4342,3808,1
2022-01-03,3072,3592,5
2022-01-02,2372,3576,2
2022-01-01,1900,3071,9
2021-12-31,5944,3829,11
2021-12-30,5084,3612,3
2021-12-29,4209,3579,4
2021-12-28,2993,3483,1
2021-12-27,2293,3331,0
2021-12-26,2464,3249,4
2021-12-25,1934,2817,7
2021-12-24,2117,5090,5
2021-12-23,2424,4042,0
2021-12-22,2624,3917,0
2021-12-21,3179,3525,0
2021-12-20,4053,3482,6
2021-12-19,4302,3684,1
2021-12-18,2902,3356,4
2021-12-17,3768,4211,6
2021-12-16,4416,3871,4
2021-12-15,4877,4470,1
2021-12-14,5361,5019,5
2021-12-13,6625,4439,5
2021-12-12,3961,3820,3
2021-12-11,5107,3796,4
2021-12-10,6729,5414,5
2021-12-09,5618,5356,3
2021-12-08,4254,5895,1
2021-12-07,3818,4620,19
2021-12-06,4555,4143,5
2021-12-05,7482,5105,53
2021-12-04,6984,6897,54
